num,sum(qty)
P858CDP,20
OCG0273,54
P868CDP,4
8100339,10
P867CDP,0
OCG0547,119
P1830CDM,109
P864CDP,5
R54032ONZ,87
P1547CDP,26
R31254ONZ,0
P1540CDP,103
R31300ONZ,8
R54152ONZ,2
P1510CDP,72
R54130ONZ,30
OCG0512,98
OCG0272,2
8100332,5
P1376CDP,0
R54131ONZ,2
R981957ONZ,52
P838CDP,82
R34380ONZ,106
P1847CDM,94
P1372CDP,142
OCG0443,100
P837CDP,79
8100333,8
P835CDP,0
8100334,12
P831CDP,83
P1691CDM,25
P1371CDP,137
OCG0136,0
R34426ONZ,299
R55036ONZ,200
R34175ONZ,30
P1852CDM,120
P1855CDM,60
R34178ONZ,11
8100335,4
R981066ONZ,72
R55039ONZ,196
OCG0504,6
R31494ONZ,60
OCG0493,82
P1697CDM,72
OCG0222,491
R31540ONZ,34
R34263ONZ,34
R681939ONZ,26
OCG0343,4
R53025ONZ,88
R55175ONZ,54
R31438ONZ,15
P1699CDM,38
R53011ONZ,64
OCG0492,90
R53024ONZ,4
R31661ONZ,4
R31496ONZ,57
R53021ONZ,304
R31452ONZ,41
R31417ONZ,66
R31499ONZ,12
8100336,0
R31498ONZ,198
OCG0322,10
R53019ONZ,62
8100337,3
OCG0309,18
R34286ONZ,2
R31056ONZ,132
R31495ONZ,29
R53063ONZ,4
R34219ONZ,26
8100331,5
OCG0186,0
R55155ONZ,64
8100330,10
OCG0859,47
8100329,9
R34412ONZ,46
R34371ONZ,7
8100328,0
8100327,10
8100326,7
R34395ONZ,48
OCG0482,41
R53064ONZ,0
R31428ONZ,3
R34266ONZ,22
P872CDP,0
P871CDP,72
P870CDP,124
P1287CDP,0
P869CDP,0
P1279CDP,60
P829CDP,0
P1277CDP,21
P1871CDM,31
P1263CDP,23
P820CDP,31
P1872CDM,26
P1121CDP,24
P1120CDP,135
P1119CDP,21
P1874CDM,46
P1893CDM,71
P1898CDM,40
P1903CDM,102
P816CDP,17
OCG0307,2
P817CDP,29
P819CDP,40
OCG0320,4
P1917CDM,137
P873CDP,24
P874CDP,12
P1968CDM,107
P875CDP,20
P1977CDM,52
P2042CDM,52
P2065CDM,13
P2094CDM,204
P881CDP,104
OCG0480,70
P876CDP,141
OCG0306,26
P1030CDP,20
P1028CDP,69
P1022CDP,114
P1020CDP,68
P1019CDP,27
P882CDP,21
P1008CDP,0
P888CDP,0
P1009CDP,0
OCG0133,76
P1014CDP,109
P889CDP,162
P1015CDP,0
P1004CDP,0
P1005CDP,0
P1007CDP,0
P884CDP,0
P989CDP,78
P997CDP,0
P998CDP,40
P885CDP,0
P886CDP,0
R34233ONZ,6
R34324ONZ,38
R31504ONZ,122
OCG0127,62
P893CDP,0
P948CDP,0
P892CDP,0
R31323ONZ,2
P952CDP,0
P947CDP,40
P946CDP,0
P953CDP,4
P945CDP,8
8100355,9
P962CDP,1
R34357ONZ,20
P963CDP,0
8100356,0
P941CDP,46
P965CDP,0
P954CDP,103
P957CDP,0
OCG0496,20
8100357,5
P960CDP,42
P928CDP,82
OCG0503,40
OCG0140,116
P934CDP,4
P935CDP,0
P937CDP,0
OCG0423,38
8100358,5
8100359,10
OCG0143,80
P904CDP,16
P969CDP,71
P900CDP,0
8100360,12
OCG0141,94
OCG0860,20
R582038ONZ,72
P922CDP,0
P921CDP,13
P920CDP,61
8100361,24
OCG0278,8
P980CDP,28
R34376ONZ,30
OCG0447,30
8100362,10
P987CDP,149
OCG0208,65
8100363,12
OCG0448,22
P975CDP,1
OCG0335,0
P1031CDP,19
8100364,1
R31348ONZ,10
8100365,10
P1036CDP,0
OCG0046,64
8100367,12
R31463ONZ,141
R31634ONZ,32
P1040CDP,0
P1051CDP,0
R55202ONZ,7
P1045CDP,46
OCG0315,0
8100368,5
OCG0809,44
R31336SNZ,8
R981779ONZ,86
8100385,8
OCG0111,97
R981019ONZ,88
OCG0344,38
8100383,12
R31571ONZ,142
8100382,12
R31589ONZ,90
R31357ONZ,53
R31075ONZ,6
OCG0298,10
8100381,11
R31542SNZ,5
R31603SNZ,1
OCG0360,4
8100380,0
8100379,12
R781109ONZ,40
OCG0376,42
R31061ONZ,2
OCG0100,4
OCG0799,4
R31635ONZ,143
R55160SNZ,20
R31445ONZ,30
R31444ONZ,29
OCG0311,119
8100378,9
OCG0336,26
8100377,5
OCG0212,30
R31425SNZ,2
OCG0210,29
R55120ONZ,0
OCG0203,46
8100376,27
OCG0373,40
8100375,11
OCG0252,38
8100374,47
R3218SNZ,12
8100373,7
8100372,18
OCG0419,14
R31245ONZ,122
8100371,9
8100391,6
R981421ONZ,1
8100390,8
R980984ONZ,25
OCG0226,0
8100389,12
OCG0211,30
R54161SNZ,44
R31479ONZ,20
R31250SNZ,38
R31347ONZ,338
8100388,3
OCG0096,50
R31545SNZ,24
R53001ONZ,104
R54161ONZ,160
8100387,1
8100386,10
OCG0251,22
OCG0297,100
OCG0292,30
R31463SNZ,56
8100392,10
8100393,19
OCG0242,81
R31418SCB,30
OCG0270,22
8100394,8
R31446SNZ,32
R31306SCB,195
R31348SCB,0
8100395,8
R31463SCB,91
8100398,6
R31349ONZ,48
R31464SCB,86
R31314SCB,155
R55069SNZ,119
R31050SCB,199
8100399,12
OCG0266,15
R31356SCB,11
8100405,6
R31427SCB,212
R31523SCB,9
R31522SCB,11
8100404,10
R5396SCB,240
R53001SCB,190
OCG0271,24
R31339SCB,28
R53010SCB,122
8100403,8
R5399SCB,424
R31340SCB,14
R55151SNZ,24
R3295SCB,364
R34208ONZ,22
R31294SCB,4
R53012SNZ,82
R31275SCB,469
8100402,7
OCG0248,2
R31316SCB,254
8100401,10
R31315SCB,240
R31329SCB,108
OCG0097,44
R53022ONZ,137
8100406,5
R3295ONZ,396
R54074SNZ,53
8100407,14
R54124SNZ,15
R31311ONZ,748
R31403SCB,9
8100408,4
R53043SNZ,1
R55080ONZ,141
8100409,23
R55094ONZ,8
R5115SCB,287
AFN0325,8
AFN0333,26
OCG0301,26
R5360SCB,22
8100410,12
AFN0369,10
OCG0302,26
R31567SCB,0
8100411,6
AFN0370,28
OCG0144,4
AFN0503,226
OCG0260,60
R53000ONZ,2
AFN0505,27
R31202ONZ,0
8100415,12
AFN0506,9
R31396SCB,8
R55093ONZ,257
R31304ONZ,150
R55174ONZ,24
AFN0529,24
AFN0530,8
OCG0274,60
8100413,9
AFN0473,19
8100412,24
R5356ONZ,40
AFN0476,37
AFN0477,374
R5396ONZ,16
